epoch;accuracy;loss;mean_io_u_6;val_accuracy;val_loss;val_mean_io_u_6
0;0.75078183;0.5338297744893717;0.2500128;0.66409993;0.8293704424392093;0.25000978
1;0.7723155;0.48597096824723574;0.25001028;0.6687051;0.6436422291127119;0.25000995
2;0.77786946;0.47526384583005676;0.25001064;0.7296312;0.6455425765704025;0.2500099
3;0.7848892;0.4687691513861079;0.25001037;0.79007286;0.45898809283971786;0.25000972
4;0.7900725;0.46025220694226454;0.25001028;0.8129144;0.42129016904668376;0.25001004
5;0.79626346;0.4510905083244638;0.25001067;0.8006222;0.4500041641294956;0.25000945
6;0.79868877;0.44881281211422736;0.25001034;0.79135954;0.43742937154390593;0.25001034
7;0.80462754;0.43699954181844913;0.25001043;0.8134113;0.4170336757193912;0.25000978
0;0.7292159;0.5680073655464433;0.25001574;0.65827626;1.32708231698383;0.25001013
1;0.7610024;0.5141089714503497;0.25001076;0.6709822;0.6628515761006962;0.25001016
2;0.76626146;0.49941942321906474;0.25001067;0.7260386;0.5218485035002232;0.25000986
3;0.7689915;0.49440347968839427;0.2500108;0.78286594;0.46830510906875134;0.2500106
4;0.770697;0.4921394835469393;0.2500106;0.78879786;0.45054684003645723;0.25001016
5;0.76970387;0.49274736662625646;0.25001073;0.70370644;0.5380277142605998;0.25000998
6;0.7722035;0.4870635612912163;0.25001073;0.78131425;0.4678181524981152;0.25000998
